"Покупатель","Сумма","Название фильма","Дата платежа","Магазин"
Peter Menard,7.99,Rules Human,2007-02-15 22:25:46,Магазин 1
Peter Menard,1.99,Majestic Floats,2007-02-16 17:23:14,Магазин 2
Peter Menard,7.99,Maiden Home,2007-02-16 22:41:45,Магазин 1
Peter Menard,2.99,Hyde Doctor,2007-02-19 19:39:56,Магазин 1
Peter Menard,7.99,Massacre Usual,2007-02-20 17:31:48,Магазин 1
Peter Menard,5.99,Annie Identity,2007-02-21 12:33:49,Магазин 1
Harold Martino,5.99,Wash Heavenly,2007-02-17 23:58:17,Магазин 2
Harold Martino,5.99,Lola Agent,2007-02-20 02:11:44,Магазин 2
Harold Martino,2.99,Identity Lover,2007-02-20 13:57:39,Магазин 2
Douglas Graf,4.99,Opposite Necklace,2007-02-16 00:10:50,Магазин 2
Douglas Graf,6.99,Anything Savannah,2007-02-16 01:15:33,Магазин 1
Douglas Graf,0.99,Superfly Trip,2007-02-17 01:26:00,Магазин 1
Douglas Graf,0.99,Madness Attacks,2007-02-17 04:32:51,Магазин 1
Douglas Graf,6.99,Alley Evolution,2007-02-18 18:26:38,Магазин 1
Douglas Graf,8.99,Beverly Outlaw,2007-02-20 07:03:29,Магазин 2
Douglas Graf,0.99,Streak Ridgemont,2007-02-21 14:42:28,Магазин 2
Henry Billingsley,3.99,Rocketeer Mother,2007-02-15 10:54:44,Магазин 1
Henry Billingsley,4.99,Hanover Galaxy,2007-02-15 19:36:27,Магазин 2
Henry Billingsley,0.99,Slipper Fidelity,2007-02-16 14:00:38,Магазин 2
Carl Artis,0.99,Academy Dinosaur,2007-02-15 01:26:17,Магазин 2
Carl Artis,4.99,Closer Bang,2007-02-15 18:34:15,Магазин 2
Carl Artis,0.99,Hours Rage,2007-02-16 00:27:01,Магазин 2
Carl Artis,4.99,Rules Human,2007-02-19 16:13:41,Магазин 2
Arthur Simpkins,5.99,Jason Trap,2007-02-17 09:35:32,Магазин 2
Arthur Simpkins,2.99,Tramp Others,2007-02-21 12:02:45,Магазин 2
Arthur Simpkins,2.99,Strictly Scarface,2007-02-21 15:51:24,Магазин 1
Ryan Salisbury,8.99,Beauty Grease,2007-02-16 12:40:18,Магазин 1
Ryan Salisbury,0.99,Patient Sister,2007-02-18 04:59:41,Магазин 2
Ryan Salisbury,4.99,Teen Apollo,2007-02-20 10:16:26,Магазин 2
Ryan Salisbury,8.99,Virtual Spoilers,2007-02-20 14:33:08,Магазин 2
Ryan Salisbury,7.99,Devil Desire,2007-02-21 07:33:16,Магазин 2
Roger Quintanilla,2.99,Dirty Ace,2007-02-16 08:11:14,Магазин 1
Roger Quintanilla,8.99,Command Darling,2007-02-17 12:47:26,Магазин 2
Roger Quintanilla,0.99,Primary Glass,2007-02-18 21:30:02,Магазин 1
Joe Gilliland,2.99,Spy Mile,2007-02-15 00:11:12,Магазин 1
Joe Gilliland,0.99,Christmas Moonshine,2007-02-15 22:47:06,Магазин 2
Joe Gilliland,6.99,Freddy Storm,2007-02-20 07:24:16,Магазин 2
Joe Gilliland,8.99,Pinocchio Simon,2007-02-20 12:27:47,Магазин 2
Juan Fraley,3.99,Club Graffiti,2007-02-17 10:24:35,Магазин 2
Juan Fraley,0.99,Harper Dying,2007-02-19 06:31:38,Магазин 2
Juan Fraley,2.99,Insider Arizona,2007-02-20 13:42:06,Магазин 1
Juan Fraley,0.99,Japanese Run,2007-02-20 23:08:05,Магазин 2
Jack Foust,5.99,Splash Gump,2007-02-16 18:33:16,Магазин 1
Jack Foust,0.99,Crooked Frogmen,2007-02-17 00:36:26,Магазин 2
Jack Foust,2.99,Cider Desire,2007-02-19 15:38:50,Магазин 2
Albert Crouse,0.99,Sleuth Orient,2007-02-15 20:26:26,Магазин 1
Albert Crouse,4.99,Boogie Amelie,2007-02-16 07:48:59,Магазин 1
Albert Crouse,4.99,Harry Idaho,2007-02-16 09:36:54,Магазин 2
Albert Crouse,4.99,Apache Divine,2007-02-16 17:40:11,Магазин 1
Albert Crouse,4.99,Opus Ice,2007-02-21 08:06:19,Магазин 2
Jonathan Scarborough,2.99,Pond Seattle,2007-02-15 11:58:56,Магазин 1
Jonathan Scarborough,7.99,Sagebrush Clueless,2007-02-17 05:16:57,Магазин 2
Jonathan Scarborough,6.99,Searchers Wait,2007-02-21 01:07:57,Магазин 1
Justin Ngo,0.99,Craft Outfield,2007-02-15 20:16:44,Магазин 1
Justin Ngo,4.99,National Story,2007-02-18 04:59:55,Магазин 1
Justin Ngo,6.99,Easy Gladiator,2007-02-19 16:20:40,Магазин 1
Justin Ngo,2.99,Santa Paris,2007-02-20 18:13:11,Магазин 2
Terry Grissom,0.99,Donnie Alley,2007-02-15 20:08:20,Магазин 1
Terry Grissom,2.99,Patriot Roman,2007-02-16 05:20:31,Магазин 2
Gerald Fultz,0.99,Congeniality Quest,2007-02-15 15:28:12,Магазин 1
Gerald Fultz,2.99,Ship Wonderland,2007-02-18 15:05:04,Магазин 1
Gerald Fultz,4.99,Dangerous Uptown,2007-02-18 16:38:43,Магазин 1
Keith Rico,5.99,Breakfast Goldfinger,2007-02-15 03:39:45,Магазин 2
Keith Rico,1.99,Spirited Casualties,2007-02-16 18:15:44,Магазин 1
Keith Rico,1.99,Notorious Reunion,2007-02-17 07:52:25,Магазин 2
Keith Rico,6.99,Loser Hustler,2007-02-17 21:26:30,Магазин 2
Samuel Marlow,2.99,Jade Bunch,2007-02-15 18:19:32,Магазин 2
Samuel Marlow,0.99,Borrowers Bedazzled,2007-02-17 03:39:02,Магазин 1
Samuel Marlow,5.99,Searchers Wait,2007-02-17 18:28:51,Магазин 1
Samuel Marlow,2.99,Spinal Rocky,2007-02-19 13:21:50,Магазин 1
Samuel Marlow,2.99,Frida Slipper,2007-02-19 14:56:01,Магазин 1
Samuel Marlow,2.99,Ice Crossing,2007-02-21 01:34:37,Магазин 1
Willie Markham,4.99,Driving Polish,2007-02-15 09:53:32,Магазин 1
Willie Markham,1.99,Goldmine Tycoon,2007-02-16 16:36:21,Магазин 1
Willie Markham,0.99,Alone Trip,2007-02-18 14:50:29,Магазин 2
Willie Markham,4.99,Wonderland Christmas,2007-02-19 14:11:46,Магазин 1
Ralph Madrigal,0.99,Tracy Cider,2007-02-15 20:17:01,Магазин 1
Ralph Madrigal,6.99,Network Peak,2007-02-18 14:53:11,Магазин 2
Ralph Madrigal,3.99,Angels Life,2007-02-19 00:36:36,Магазин 2
Ralph Madrigal,6.99,Forrester Comancheros,2007-02-19 16:47:59,Магазин 2
Lawrence Lawton,4.99,Quills Bull,2007-02-18 11:21:51,Магазин 1
Lawrence Lawton,1.99,Orange Grapes,2007-02-19 01:37:42,Магазин 2
Lawrence Lawton,2.99,Invasion Cyclone,2007-02-19 21:35:29,Магазин 1
Lawrence Lawton,2.99,Fury Murder,2007-02-21 06:02:40,Магазин 1
Nicholas Barfield,2.99,Tomorrow Hustler,2007-02-15 16:52:36,Магазин 1
Nicholas Barfield,2.99,Gone Trouble,2007-02-15 23:06:01,Магазин 1
Nicholas Barfield,2.99,Story Side,2007-02-16 05:28:54,Магазин 2
Nicholas Barfield,2.99,Halloween Nuts,2007-02-20 22:35:49,Магазин 1
Nicholas Barfield,2.99,Giant Troopers,2007-02-21 13:42:53,Магазин 2
Roy Whiting,4.99,Waterfront Deliverance,2007-02-15 16:44:50,Магазин 2
Roy Whiting,4.99,Streetcar Intentions,2007-02-16 01:47:35,Магазин 2
Roy Whiting,4.99,Dying Maker,2007-02-16 22:33:48,Магазин 1
Roy Whiting,4.99,Velvet Terminator,2007-02-19 00:33:14,Магазин 1
Roy Whiting,2.99,Sweet Brotherhood,2007-02-21 04:37:13,Магазин 2
Benjamin Varney,2.99,Instinct Airport,2007-02-16 13:41:18,Магазин 2
Benjamin Varney,2.99,Telemark Heartbreakers,2007-02-18 17:17:44,Магазин 2
Benjamin Varney,4.99,Tourist Pelican,2007-02-19 05:19:58,Магазин 1
Benjamin Varney,4.99,October Submarine,2007-02-19 21:43:41,Магазин 2
Benjamin Varney,3.99,Pajama Jawbreaker,2007-02-20 06:00:21,Магазин 1
Bruce Schwarz,1.99,Hours Rage,2007-02-15 08:24:23,Магазин 1
Bruce Schwarz,6.99,Roses Treasure,2007-02-16 02:36:42,Магазин 2
Bruce Schwarz,4.99,Home Pity,2007-02-17 08:50:39,Магазин 2
Bruce Schwarz,2.99,Escape Metropolis,2007-02-18 23:16:48,Магазин 2
Bruce Schwarz,0.99,Jedi Beneath,2007-02-20 19:32:12,Магазин 2
Brandon Huey,1.99,Tights Dawn,2007-02-15 14:58:48,Магазин 1
Brandon Huey,0.99,Lose Inch,2007-02-18 01:13:03,Магазин 1
Adam Gooch,0.99,Siege Madre,2007-02-20 13:38:14,Магазин 1
Harry Arce,0.99,Frost Head,2007-02-14 23:25:11,Магазин 2
Harry Arce,9.99,Dude Blindness,2007-02-15 21:21:56,Магазин 2
Harry Arce,4.99,Coma Head,2007-02-18 23:49:15,Магазин 2
Harry Arce,4.99,Boiled Dares,2007-02-19 11:45:47,Магазин 1
Harry Arce,4.99,Wonderland Christmas,2007-02-19 14:49:06,Магазин 1
Harry Arce,4.99,Kwai Homeward,2007-02-21 04:01:30,Магазин 1
Fred Wheat,0.99,Gables Metropolis,2007-02-15 02:12:51,Магазин 1
Wayne Truong,6.99,Massacre Usual,2007-02-14 23:33:58,Магазин 1
Billy Poulin,2.99,Shock Cabin,2007-02-15 01:31:59,Магазин 1
Billy Poulin,1.99,Banger Pinocchio,2007-02-15 01:53:10,Магазин 1
Billy Poulin,6.99,World Leathernecks,2007-02-16 02:00:05,Магазин 2
Billy Poulin,5.99,Peak Forever,2007-02-16 09:33:13,Магазин 2
Billy Poulin,0.99,Bound Cheaper,2007-02-19 20:32:16,Магазин 2
Billy Poulin,3.99,Hope Tootsie,2007-02-20 21:00:20,Магазин 2
Billy Poulin,0.99,Mourning Purple,2007-02-21 13:51:34,Магазин 1
Steve Mackenzie,2.99,Murder Antitrust,2007-02-18 07:32:05,Магазин 1
Steve Mackenzie,4.99,Trip Newton,2007-02-20 05:36:20,Магазин 2
Steve Mackenzie,3.99,Suspects Quills,2007-02-21 04:47:33,Магазин 2
Louis Leone,6.99,Unbreakable Karate,2007-02-15 19:23:21,Магазин 2
Louis Leone,2.99,Exorcist Sting,2007-02-20 19:49:27,Магазин 1
Jeremy Hurtado,1.99,Impact Aladdin,2007-02-16 00:11:59,Магазин 1
Jeremy Hurtado,1.99,Crooked Frogmen,2007-02-17 13:08:16,Магазин 2
Jeremy Hurtado,4.99,Sleepless Monsoon,2007-02-18 20:01:20,Магазин 2
Jeremy Hurtado,2.99,Balloon Homeward,2007-02-19 08:06:59,Магазин 2
Aaron Selby,2.99,Muscle Bright,2007-02-15 15:07:19,Магазин 2
Aaron Selby,5.99,Arachnophobia Rollercoaster,2007-02-15 20:26:33,Магазин 2
Aaron Selby,4.99,Sweden Shining,2007-02-18 02:40:59,Магазин 2
Randy Gaither,0.99,Coast Rainbow,2007-02-15 00:58:29,Магазин 2
Randy Gaither,0.99,Detective Vision,2007-02-19 16:47:33,Магазин 2
Howard Fortner,3.99,Angels Life,2007-02-19 01:35:58,Магазин 1
Howard Fortner,1.99,Anaconda Confessions,2007-02-20 13:50:58,Магазин 2
Howard Fortner,0.99,Westward Seabiscuit,2007-02-20 14:11:06,Магазин 2
Howard Fortner,2.99,Robbers Joon,2007-02-20 18:07:34,Магазин 2
Howard Fortner,4.99,Gilmore Boiled,2007-02-21 18:47:26,Магазин 1
Eugene Culpepper,4.99,Wizard Coldblooded,2007-02-16 06:17:16,Магазин 1
Eugene Culpepper,5.99,Secret Groundhog,2007-02-16 08:42:01,Магазин 2
Eugene Culpepper,7.99,Gorgeous Bingo,2007-02-17 19:42:10,Магазин 1
Eugene Culpepper,4.99,Super Wyoming,2007-02-19 12:51:35,Магазин 1
